 ano , fase , time_a , time_b , gols_a , gols_b , odd_vitoria_time_a, odd_empate, odd_vitoria_time_b,odd_under_gols,linha gols,odd_over_gols,ambas marcam (sim),ambas marcam (não)
2014,grupos,COL,CIV,2,1,2.05,3.6,3.8,1.85,2.5,1.95,1.8,1.91
2014,grupos,URU,ENG,2,1,3.9,3.9,1.95,2.1,2.5,1.7,1.62,2.2
2014,grupos,GRE,CRC,2,1,4.1,3.7,1.95,1.8,2.5,2,1.83,1.83
2014,grupos,JPN,GRE,0,0,2.5,3.4,3,1.75,2.5,2.05,1.83,1.83
2014,grupos,JPN,COL,1,4,3.5,3.8,2.1,2.1,2.5,1.7,1.62,2.2
2014,grupos,ITA,URU,0,1,2.6,3.6,2.75,1.8,2.5,2,1.73,2
2014,grupos,ITA,CRC,0,1,1.62,4,6.5,1.7,2.5,2.1,2.1,1.67
2014,oitavas,BRA,CHI,1,1,1.53,4.5,6.5,2,2.5,1.8,1.83,1.83
2014,oitavas,COL,URU,2,0,2.15,3.4,3.75,1.57,2.5,2.35,2,1.73
2014,oitavas,NED,MEX,2,1,2.2,3.3,3.8,1.67,2.5,2.15,1.83,1.83
2014,oitavas,CRC,GRE,1,1,2.8,3.1,2.9,1.4,2.5,2.88,2.25,1.57
2014,oitavas,FRA,NGA,2,0,1.44,4.75,8.5,2.05,2.5,1.75,2,1.73
2014,oitavas,GER,ALG,0,0,1.33,5.75,10,2.2,2.5,1.65,2,1.73
2014,oitavas,ARG,SUI,0,0,1.57,4.2,6.5,2,2.5,1.8,1.83,1.83
2014,oitavas,BEL,USA,0,0,2,3.4,4.33,1.67,2.5,2.15,1.91,1.8
2014,quartas,FRA,GER,0,1,2.8,3.2,2.8,1.67,2.5,2.15,1.83,1.83
2014,quartas,BRA,COL,2,1,1.75,3.9,5,1.62,2.5,2.25,2.1,1.67
2014,quartas,ARG,BEL,1,0,2,3.4,4.33,1.73,2.5,2.08,1.83,1.83
2014,quartas,NED,CRC,0,0,1.53,4.2,7.5,1.73,2.5,2.08,2.2,1.62
2014,semi,BRA,GER,1,7,2.63,3.25,3,1.57,2.5,2.35,2,1.73
2014,semi,NED,ARG,0,0,3.2,3.25,2.5,1.53,2.5,2.4,2,1.73
2014,terceiro,BRA,NED,0,3,2.1,3.75,3.6,2.1,2.5,1.7,1.57,2.25
2014,final,GER,ARG,0,0,2.5,3.2,3.2,1.57,2.5,2.35,2,1.73
